OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
29040,"ROGERS, AR",1,WM Supercenter,Retail,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,Open,ad1180d5-9602-4c31-8f8d-79279b68bb00,-10480624.7499,4346304.0213
29041,"TUNKHANNOCK, PA",2024,WM Supercenter,Retail,808 HUNTER HWY,TUNKHANNOCK,WYOMING,PA,18657-8071,Open,9713a3b8-52d2-4fd6-bd7d-ab35e83bd006,-8454430.4592,5089938.676
29042,TAHLEQUAH OK,10,WM Supercenter,Retail,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,Open,66724ffd-8b3d-4247-8d2b-815e0672cc16,-10573104.5301,4285332.1534
29043,"TRACY, CA",2025,WM Supercenter,Retail,3010 W GRANT LINE RD,TRACY,SAN JOAQUIN,CA,95304-9402,Open,1ffdd775-7a2e-49d7-8480-7f58124fc6af,-13522169.4596,4544402.7163
29044,"BENTONVILLE, AR",100,WM Supercenter,Retail,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,Open,cf1f267b-9737-4539-952d-a7ae0fe284af,-10489061.6542,4351400.3858
29045,PONCE-PR,2026,WM Supercenter,Retail,3305 AVE.BARAMAYA SUITE 100,PONCE,PONCE,PR,00728-0000,Open,b4538acc-70de-43ce-8e75-cdab74e7227b,-7418617.8481,2037239.5397
29046,BROWNSVILLE TX,1000,WM Supercenter,Retail,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,Open,a231e6fc-dea7-4f65-93c0-0bfc03799949,-10851090.338,2989812.4098
29047,"LAVALE, MD",2027,WM Supercenter,Retail,12500 COUNTRY CLUB MALL RD,LAVALE,ALLEGANY,MD,21502-7553,Open,71e42bbb-73f5-491d-922f-35e4ba270df9,-8775877.8453,4811582.988
29048,"PUEBLO, CO",1001,WM Supercenter,Retail,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,Open,ae24cb5c-0205-41cb-a02b-f4b2cf0dcea2,-11651243.1493,4612296.4547
29049,"RIVERSIDE (S), CA",2028,WM Supercenter,Retail,5200 VAN BUREN BLVD,RIVERSIDE,RIVERSIDE,CA,92503-2544,Open,30e8df47-25d0-4391-b306-f812cfabb63a,-13075068.5284,4020355.3256
29050,LINTON IN,1002,WM Supercenter,Retail,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,Open,4eda37bd-f40e-4156-9804-6a37f371d4c6,-9699346.047,4726811.9487
29052,PLANO IL,1003,WM Supercenter,Retail,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,Open,a2d19992-75d5-4227-8b44-fb2180475e1f,-9858835.1513,5109129.8007
